period,value
1994-02-04,40264
1994-02-11,40925
1994-02-18,40990
1994-02-25,41544
1994-03-04,40488
1994-03-11,40096
1994-03-18,41400
1994-03-25,38748
1994-04-01,37631
1994-04-08,37539
1994-04-15,37819
1994-04-22,38240
1994-04-29,38765
1994-05-06,37924
1994-05-13,37986
1994-05-20,36469
1994-05-27,35349
1994-06-03,36328
1994-06-10,36400
1994-06-17,36416
1994-06-24,34738
1994-07-01,35012
1994-07-08,36510
1994-07-15,36295
1994-07-22,35730
1994-07-29,35033
1994-08-05,34970
1994-08-12,35038
1994-08-19,34737
1994-08-26,36153
1994-09-02,35770
1994-09-09,36517
1994-09-16,37005
1994-09-23,37278
1994-09-30,37612
1994-10-07,37896
1994-10-14,36205
1994-10-21,37447
1994-10-28,37561
1994-11-04,40062
1994-11-11,39699
1994-11-18,39845
1994-11-25,40097
1994-12-02,41462
1994-12-09,39936
1994-12-16,40620
1994-12-23,41628
1994-12-30,40277
1995-01-06,40928
1995-01-13,41030
1995-01-20,41819
1995-01-27,42351
1995-02-03,44135
1995-02-10,44614
1995-02-17,45897
1995-02-24,47024
1995-03-03,45651
1995-03-10,44493
1995-03-17,45448
1995-03-24,45490
1995-03-31,42667
1995-04-07,43821
1995-04-14,41239
1995-04-21,41029
1995-04-28,41345
1995-05-05,41197
1995-05-12,42233
1995-05-19,40150
1995-05-26,39557
1995-06-02,40702
1995-06-09,40853
1995-06-16,42194
1995-06-23,40986
1995-06-30,42090
1995-07-07,41337
1995-07-14,40673
1995-07-21,41603
1995-07-28,41483
1995-08-04,42600
1995-08-11,41933
1995-08-18,41234
1995-08-25,41133
1995-09-01,40775
1995-09-08,42063
1995-09-15,42714
1995-09-22,42205
1995-09-29,42180
1995-10-06,42068
1995-10-13,41207
1995-10-20,41500
1995-10-27,41698
1995-11-03,39962
1995-11-10,39184
1995-11-17,40189
1995-11-24,41263
1995-12-01,40825
1995-12-08,42281
1995-12-15,42148
1995-12-22,43013
1995-12-29,42927
1996-01-05,43289
1996-01-12,43488
1996-01-19,43184
1996-01-26,44965
1996-02-02,45121
1996-02-09,45167
1996-02-16,44234
1996-02-23,44093
1996-03-01,44937
1996-03-08,44016
1996-03-15,44925
1996-03-22,43153
1996-03-29,43312
1996-04-05,42198
1996-04-12,41764
1996-04-19,43552
1996-04-26,44113
1996-05-03,43373
1996-05-10,42130
1996-05-17,40813
1996-05-24,41938
1996-05-31,42456
1996-06-07,42560
1996-06-14,43115
1996-06-21,40864
1996-06-28,41703
1996-07-05,41207
1996-07-12,39230
1996-07-19,38728
1996-07-26,39147
1996-08-02,39715
1996-08-09,40314
1996-08-16,40193
1996-08-23,39428
1996-08-30,38821
1996-09-06,40010
1996-09-13,38357
1996-09-20,37571
1996-09-27,38681
1996-10-04,40300
1996-10-11,39016
1996-10-18,38935
1996-10-25,39203
1996-11-01,39614
1996-11-08,38950
1996-11-15,38286
1996-11-22,36871
1996-11-29,38916
1996-12-06,38431
1996-12-13,37064
1996-12-20,38636
1996-12-27,38535
1997-01-03,40462
1997-01-10,41757
1997-01-17,42522
1997-01-24,43082
1997-01-31,44376
1997-02-07,46821
1997-02-14,45502
1997-02-21,45486
1997-02-28,45069
1997-03-07,44211
1997-03-14,44661
1997-03-21,45499
1997-03-28,45759
1997-04-04,45382
1997-04-11,47239
1997-04-18,46330
1997-04-25,46381
1997-05-02,44762
1997-05-09,45300
1997-05-16,45509
1997-05-23,45382
1997-05-30,45924
1997-06-06,44921
1997-06-13,44236
1997-06-20,44045
1997-06-27,43070
1997-07-04,42553
1997-07-11,42472
1997-07-18,41405
1997-07-25,40937
1997-08-01,40627
1997-08-08,40558
1997-08-15,39409
1997-08-22,39102
1997-08-29,39347
1997-09-05,38502
1997-09-12,39570
1997-09-19,40772
1997-09-26,41405
1997-10-03,41335
1997-10-10,40654
1997-10-17,41115
